,basic,,,,,,,,,,,,central_tendencies,,,,,,dispersion,,,,,,Hypothesis Testing,,,,,,
,"Treatment, num_items","Treatment, sum","Treatment, percent_of_total_items","Treatment, percent_of_total_sum","Control, num_items","Control, sum","Control, percent_of_total_items","Control, percent_of_total_sum","All groups, num_items","All groups, sum","All groups, percent_of_total_items","All groups, percent_of_total_sum","Treatment, mean","Treatment, median","Control, mean","Control, median","All groups, mean","All groups, median","Treatment, range","Treatment, standard deviation","Control, range","Control, standard deviation","All groups, range","All groups, standard deviation","Treatment vs Control, Difference","Treatment vs Control, p_value","Treatment vs Control, percent_bias","Treatment vs Control, cohen's d effect size","Treatment vs Control, CLES","Treatment vs Control, CLES flipped (treatment=lesser)","Treatment vs Control, Wilcoxon rank-sum statistic"
Variable `num_edits vs num_edits_prev_week` in subset `All`,20650,96125,50.0,54.611202327,20650,79892,50.0,45.388797673,41300,176017.0,100.0,100.0,4.65496368039,0.0,3.86886198547,0.0,4.26191283293,0.0,1355,29.0924239959,500,22.5339226423,1355.0,26.023602571,0.786101694915,7.23444026061e-05,3.02107047141,0.0302107047141,0.33306986146368917,0.2868301930597002,"RanksumsResult(statistic=8.1379517535255719, pvalue=4.0202097407381897e-16)"
Variable `norm_change_edits` in subset `All`,11432,1125.29529525,50.0,50.0,11432,1125.29529525,50.0,50.0,22864,2250.5905905,100.0,100.0,0.0984338081917,0.148985876606,0.0984338081917,0.148985876606,0.0984338081917,0.148985876606,2.0,0.793525887881,2.0,0.793525887881,2.0,0.793525887881,0.0,nan,0.0,0.0,0.42013319945583855,0.42013319945583855,"RanksumsResult(statistic=0.0, pvalue=1.0)"
Variable `num_new_editors vs num_new_editors_prev_week` in subset `All`,20650,3313,50.0,63.5770485511,20650,1898,50.0,36.4229514489,41300,5211.0,100.0,100.0,0.160435835351,0.0,0.0919128329298,0.0,0.12617433414,0.0,128,1.99414974967,37,0.828883827313,128.0,1.52742091844,0.0685230024213,3.52065707255e-06,4.48731889748,0.0448731889748,0.04545446124442308,0.03469779150959436,"RanksumsResult(statistic=1.8931203953679991, pvalue=0.058341860463703918)"
Variable `num_new_editors_retained vs num_new_editors_retained_prev_week` in subset `All`,20650,1301,50.0,81.7211055276,20650,291,50.0,18.2788944724,41300,1592.0,100.0,100.0,0.0630024213075,0.0,0.0140920096852,0.0,0.0385472154964,0.0,80,1.43182495599,37,0.33088766264,80.0,1.03942423102,0.0489104116223,1.54391283655e-06,4.70683220265,0.0470683220265,0.01384178133189501,0.005995769454003951,"RanksumsResult(statistic=1.3808590832013354, pvalue=0.16732229281870914)"
Variable `percent_new_editors` in subset `All`,8754,22998.7868908,50.0,50.0,8754,22998.7868908,50.0,50.0,17508,45997.5737815,100.0,100.0,2.62723176728,0.0,2.62723176728,0.0,2.62723176728,0.0,100.0,11.344706652,100.0,11.344706652,100.0,11.344706652,0.0,nan,0.0,0.0,0.10360505454368743,0.10360505454368743,"RanksumsResult(statistic=0.0, pvalue=1.0)"
Variable `percent_active_editors` in subset `All`,8754,855867.080056,50.0,50.0,8754,855867.080056,50.0,50.0,17508,1711734.16011,100.0,100.0,97.7686863212,100.0,97.7686863212,100.0,97.7686863212,100.0,100.0,10.6349539022,100.0,10.6349539022,100.0,10.6349539022,0.0,nan,0.0,0.0,0.09122660151207876,0.09122660151207876,"RanksumsResult(statistic=0.0, pvalue=1.0)"
Variable `percent_inactive_editors` in subset `All`,8754,19532.919944,50.0,50.0,8754,19532.919944,50.0,50.0,17508,39065.839888,100.0,100.0,2.23131367878,0.0,2.23131367878,0.0,2.23131367878,0.0,100.0,10.6349539022,100.0,10.6349539022,100.0,10.6349539022,0.0,nan,0.0,0.0,0.09122660151207876,0.09122660151207876,"RanksumsResult(statistic=0.0, pvalue=1.0)"
Variable `num_active_edits vs num_active_edits_prev_week` in subset `All`,20650,94517,50.0,54.6328408592,20650,78487,50.0,45.3671591408,41300,173004.0,100.0,100.0,4.57709443099,0.0,3.80082324455,0.0,4.18895883777,0.0,1353,28.9394924962,500,22.3032802352,1353.0,25.8382645863,0.776271186441,8.03837707985e-05,3.00468625693,0.0300468625693,0.3313123838446611,0.2855646876044299,"RanksumsResult(statistic=8.0513670985977051, pvalue=8.187428983856454e-16)"
Variable `num_inactive_edits vs num_inactive_edits_prev_week` in subset `All`,20650,1608,50.0,53.3687354796,20650,1405,50.0,46.6312645204,41300,3013.0,100.0,100.0,0.0778692493947,0.0,0.0680387409201,0.0,0.0729539951574,0.0,16,0.498461859158,15,0.4893740415,16.0,0.493963306824,0.00983050847458,0.0259432483219,1.99022782879,0.0199022782879,0.03967984803803739,0.033787208695601194,"RanksumsResult(statistic=1.0370752283668094, pvalue=0.2997007988182826)"
